,AdjSalMonth median,Teachers,County,Dist # ,Enrollment,Reading AVG,Math AVG,Students/Teacher,Region
0,5668.282852859304,41.0,ADAMS,0010,599,76.14285714285714,80.7,14.609756097560975,4
1,5660.371240053488,41.0,ADAMS,0010,583,72.22857142857143,78.51428571428572,14.21951219512195,4
2,5494.726391857747,42.0,ADAMS,0010,546,72.81428571428572,77.41428571428571,13.0,4
3,5429.7426378647015,42.0,ADAMS,0010,540,79.24285714285713,83.07142857142858,12.857142857142858,4
4,5512.889368536184,43.0,ADAMS,0010,541,80.22857142857144,84.67142857142858,12.581395348837209,4
5,5393.799818396201,43.0,ADAMS,0010,522,77.78571428571429,83.48571428571428,12.13953488372093,4
6,5439.232586651373,42.0,ADAMS,0010,535,80.54285714285716,86.64285714285714,12.738095238095237,4
7,5327.9012899647,45.0,ADAMS,0020,626,76.38571428571429,85.88571428571429,13.911111111111111,4
8,5309.67248952652,47.0,ADAMS,0020,635,74.15714285714286,83.61428571428571,13.51063829787234,4
9,5099.485716663508,49.0,ADAMS,0020,636,75.31428571428572,83.87142857142858,12.979591836734693,4
10,5250.406802672438,50.0,ADAMS,0020,656,77.91428571428571,91.5,13.12,4
11,5304.034444367529,51.0,ADAMS,0020,678,78.81428571428572,86.57142857142858,13.294117647058824,4
12,5447.9259279609,51.0,ADAMS,0020,673,84.0142857142857,90.2857142857143,13.196078431372548,4
13,5454.514725137685,51.0,ADAMS,0020,661,85.8,89.94285714285716,12.96078431372549,4
14,5906.454046058161,62.0,ADAMS,0030,1053,70.42857142857143,79.75714285714285,16.983870967741936,4
15,5805.536513911944,66.0,ADAMS,0030,1024,70.35714285714286,80.57142857142857,15.515151515151516,4
16,5740.058110668941,66.0,ADAMS,0030,984,74.34285714285714,82.22857142857141,14.909090909090908,4
17,5887.699977424462,70.0,ADAMS,0030,974,77.65714285714286,84.12857142857142,13.914285714285715,4
18,6068.470657369077,71.0,ADAMS,0030,931,76.05714285714285,83.04285714285716,13.112676056338028,4
19,6142.227117058617,66.0,ADAMS,0030,961,73.2,83.14285714285714,14.56060606060606,4
20,5823.013139802499,65.0,ADAMS,0030,957,73.41428571428571,82.3142857142857,14.723076923076922,4
21,5103.980763153471,53.0,ADAMS,0040,786,70.82857142857144,82.4,14.830188679245284,4
22,5033.8231661528735,58.0,ADAMS,0040,801,69.45714285714286,81.39999999999999,13.810344827586206,4
23,4931.57660602615,60.0,ADAMS,0040,776,76.31428571428572,80.82857142857144,12.933333333333334,4
24,5121.864895671022,62.0,ADAMS,0040,786,72.92857142857143,78.6,12.67741935483871,4
25,5258.73598825341,62.0,ADAMS,0040,756,73.65714285714286,78.94285714285715,12.193548387096774,4
26,5363.247590563504,54.0,ADAMS,0040,746,73.58571428571429,78.72857142857141,13.814814814814815,4
27,5212.797374965992,56.0,ADAMS,0040,712,72.95714285714284,75.74285714285715,12.714285714285714,4
28,4890.245906944024,420.0,ADAMS,1720,6484,72.28571428571429,79.15714285714286,15.438095238095238,4
29,4926.81831848767,446.0,ADAMS,1720,6431,74.64285714285714,81.42857142857143,14.419282511210762,4
30,4863.276377544059,476.0,ADAMS,1720,6470,76.24285714285713,79.55714285714285,13.592436974789916,4
31,5115.3904121851065,459.0,ADAMS,1720,6060,74.88571428571429,77.28571428571429,13.202614379084967,4
