,AdjSalMonth median,Teachers,Enrollment,Reading AVG,Math AVG,Students/Teacher,Region 1,Region 2,Region 3,Region 4,Region 5
0,5668.282852859304,41.0,599,76.14285714285714,80.7,14.609756097560975,0,0,0,1,0
1,5660.371240053488,41.0,583,72.22857142857143,78.51428571428572,14.21951219512195,0,0,0,1,0
2,5494.726391857747,42.0,546,72.81428571428572,77.41428571428571,13.0,0,0,0,1,0
3,5429.7426378647015,42.0,540,79.24285714285713,83.07142857142858,12.857142857142858,0,0,0,1,0
4,5512.889368536184,43.0,541,80.22857142857144,84.67142857142858,12.581395348837209,0,0,0,1,0
5,5393.799818396201,43.0,522,77.78571428571429,83.48571428571428,12.13953488372093,0,0,0,1,0
6,5439.232586651373,42.0,535,80.54285714285716,86.64285714285714,12.738095238095237,0,0,0,1,0
7,5327.9012899647,45.0,626,76.38571428571429,85.88571428571429,13.911111111111111,0,0,0,1,0
8,5309.67248952652,47.0,635,74.15714285714286,83.61428571428571,13.51063829787234,0,0,0,1,0
9,5099.485716663508,49.0,636,75.31428571428572,83.87142857142858,12.979591836734693,0,0,0,1,0
10,5250.406802672438,50.0,656,77.91428571428571,91.5,13.12,0,0,0,1,0
11,5304.034444367529,51.0,678,78.81428571428572,86.57142857142858,13.294117647058824,0,0,0,1,0
12,5447.9259279609,51.0,673,84.0142857142857,90.2857142857143,13.196078431372548,0,0,0,1,0
13,5454.514725137685,51.0,661,85.8,89.94285714285716,12.96078431372549,0,0,0,1,0
14,5906.454046058161,62.0,1053,70.42857142857143,79.75714285714285,16.983870967741936,0,0,0,1,0
15,5792.071124153558,65.0,1024,70.35714285714286,80.57142857142857,15.753846153846155,0,0,0,1,0
16,5740.058110668941,66.0,984,74.34285714285714,82.22857142857141,14.909090909090908,0,0,0,1,0
17,5887.699977424462,70.0,974,77.65714285714286,84.12857142857142,13.914285714285715,0,0,0,1,0
18,6068.470657369077,71.0,931,76.05714285714285,83.04285714285716,13.112676056338028,0,0,0,1,0
19,6142.227117058617,66.0,961,73.2,83.14285714285714,14.56060606060606,0,0,0,1,0
20,5823.013139802499,65.0,957,73.41428571428571,82.3142857142857,14.723076923076922,0,0,0,1,0
21,5103.980763153471,53.0,786,70.82857142857144,82.4,14.830188679245284,0,0,0,1,0
22,5033.8231661528735,58.0,801,69.45714285714286,81.39999999999999,13.810344827586206,0,0,0,1,0
23,4931.57660602615,60.0,776,76.31428571428572,80.82857142857144,12.933333333333334,0,0,0,1,0
24,5121.864895671022,62.0,786,72.92857142857143,78.6,12.67741935483871,0,0,0,1,0
25,5258.73598825341,62.0,756,73.65714285714286,78.94285714285715,12.193548387096774,0,0,0,1,0
26,5363.247590563504,54.0,746,73.58571428571429,78.72857142857141,13.814814814814815,0,0,0,1,0
27,5212.797374965992,56.0,712,72.95714285714284,75.74285714285715,12.714285714285714,0,0,0,1,0
28,4889.060784659606,419.0,6484,72.28571428571429,79.15714285714286,15.474940334128878,0,0,0,1,0
29,4926.78001538416,445.0,6431,74.64285714285714,81.42857142857143,14.451685393258426,0,0,0,1,0
30,4863.276377544059,476.0,6470,76.24285714285713,79.55714285714285,13.592436974789916,0,0,0,1,0
31,5115.3904121851065,459.0,6060,74.88571428571429,77.28571428571429,13.202614379084967,0,0,0,1,0
32,5284.246349804095,443.0,6389,73.87142857142858,77.17142857142856,14.422121896162528,0,0,0,1,0
33,5190.033587186624,410.0,6238,73.57142857142857,75.45714285714287,15.214634146341464,0,0,0,1,0
34,4972.67627556085,414.0,6539,71.1,74.15714285714286,15.794685990338165,0,0,0,1,0
35,4788.052130811901,39.0,440,63.51428571428572,66.82857142857142,11.282051282051283,0,0,0,1,0
36,5186.29672797605,34.0,446,73.61428571428571,73.14285714285714,13.117647058823529,0,0,0,1,0
37,5822.987708858632,23.0,269,69.57142857142858,72.91428571428571,11.695652173913043,0,0,0,1,0
38,5785.512851421496,21.0,260,72.08571428571429,78.34285714285714,12.380952380952381,0,0,0,1,0
39,5293.086854009078,30.0,336,74.20000000000002,74.07142857142857,11.2,0,0,0,1,0
40,5390.760648038364,28.0,344,76.77142857142859,82.91428571428573,12.285714285714286,0,0,0,1,0
41,5105.465696544753,31.0,316,75.39999999999999,74.67142857142858,10.193548387096774,0,0,0,1,0
42,5285.052245378725,28.0,318,76.41428571428571,78.55714285714286,11.357142857142858,0,0,0,1,0
43,5423.432999272376,31.0,320,69.51428571428572,76.47142857142856,10.32258064516129,0,0,0,1,0
44,5589.420520290796,27.0,323,73.11428571428573,76.47142857142856,11.962962962962964,0,0,0,1,0
45,5693.085679379996,26.0,321,75.5,82.34285714285714,12.346153846153847,0,0,0,1,0
46,5425.257080870735,36.0,466,72.4857142857143,68.01428571428572,12.944444444444445,0,0,0,1,0
47,5543.15397567386,38.0,443,74.04285714285716,69.8142857142857,11.657894736842104,0,0,0,1,0
48,5455.5828806771515,35.0,451,77.70000000000002,78.3,12.885714285714286,0,0,0,1,0
49,5656.983631188341,35.0,439,73.27142857142857,74.47142857142856,12.542857142857143,0,0,0,1,0
50,5744.950757467376,34.0,408,74.67142857142856,74.20000000000002,12.0,0,0,0,1,0
51,5658.924385736276,30.0,405,74.2,78.78571428571429,13.5,0,0,0,1,0
52,5216.720712622887,33.0,421,75.71428571428571,77.54285714285713,12.757575757575758,0,0,0,1,0
53,5516.167020087409,96.0,1366,70.68571428571428,73.60000000000001,14.229166666666666,0,0,0,1,0
54,5327.131448765579,95.0,1359,70.37142857142857,73.87142857142858,14.305263157894737,0,0,0,1,0
